                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.80195,                0.74926,                 1.2163,                0.88219,                0.93459,                 1.2549,                0.86551,                0.86322,                0.91196,                0.72627,                0.96431,                0.59335,                 1.2829,                0.96001,                0.65049,                  1.297,             0.00025058,             0.00025058,             0.00025058
                     78,                0.79519,                0.74049,                 1.2257,                0.86566,                0.91462,                 1.2634,                0.88635,                0.86684,                0.93115,                0.66812,                 1.2329,                0.67262,                 1.5621,                  1.242,                0.73425,                 1.5865,             0.00024948,             0.00024948,             0.00024948
                     79,                0.78482,                0.70659,                 1.2045,                0.86042,                0.89358,                 1.2464,                0.83057,                0.87665,                0.93303,                  0.702,                 1.0883,                 0.6247,                 1.3782,                 1.1092,                0.69422,                 1.4185,             0.00024838,             0.00024838,             0.00024838
                     80,                0.80292,                0.73196,                  1.222,                0.86541,                0.91513,                 1.2546,                0.89447,                0.83454,                0.91876,                0.67109,                 1.1807,                0.63285,                 1.5011,                  1.187,                0.71482,                 1.5049,             0.00024729,             0.00024729,             0.00024729
                     81,                0.80223,                0.71819,                 1.2094,                0.86347,                 0.8955,                  1.241,                0.86718,                0.86713,                0.90652,                0.69359,                 1.0482,                0.68117,                 1.3569,                  1.069,                0.74079,                 1.3821,             0.00024619,             0.00024619,             0.00024619
                     82,                 0.7771,                0.70965,                 1.2001,                0.84397,                0.88699,                 1.2321,                0.86901,                0.91181,                 0.9387,                0.71428,                 1.0549,                0.51885,                 1.3893,                 1.0617,                0.54774,                  1.399,             0.00024509,             0.00024509,             0.00024509
                     83,                0.78209,                0.70399,                 1.2005,                0.85132,                0.88969,                 1.2344,                0.89627,                0.85642,                0.94812,                0.74432,                0.97656,                0.59277,                 1.2963,                0.99837,                 0.6098,                 1.3395,             0.00024399,             0.00024399,             0.00024399
                     84,                0.80726,                0.73063,                 1.2279,                0.87854,                0.91326,                 1.2568,                0.89117,                0.84171,                0.92891,                0.72861,                0.98014,                0.56418,                 1.3101,                0.99198,                0.60616,                 1.3337,             0.00024289,             0.00024289,             0.00024289
                     85,                0.78199,                0.70521,                   1.21,                0.84171,                0.89136,                 1.2417,                0.83858,                 0.8715,                0.92864,                0.68327,                 1.1296,                0.66551,                 1.4726,                 1.1444,                0.68699,                 1.4837,             0.00024179,             0.00024179,             0.00024179
                     86,                0.78345,                 0.7099,                 1.1954,                0.84625,                0.88763,                 1.2233,                0.84958,                0.89703,                0.93292,                0.72085,                 1.0122,                0.56181,                 1.3573,                 1.0241,                0.55148,                 1.3807,             0.00024069,             0.00024069,             0.00024069
                     87,                0.77998,                0.69562,                 1.2039,                0.85216,                0.87658,                 1.2403,                0.86471,                0.83232,                0.91264,                  0.712,                0.97476,                0.65332,                 1.3092,                0.97359,                0.68619,                 1.3221,             0.00023959,             0.00023959,             0.00023959
                     88,                0.77085,                0.70533,                 1.1916,                0.83559,                0.89511,                 1.2228,                 0.8786,                 0.8425,                0.90213,                0.72046,                 0.9174,                0.58955,                 1.2866,                0.91808,                0.60558,                 1.2925,             0.00023849,             0.00023849,             0.00023849
                     89,                0.78148,                0.69317,                 1.1991,                0.85423,                0.85415,                  1.237,                0.85786,                0.86012,                   0.93,                0.69309,                 1.1702,                0.59998,                 1.5027,                 1.1781,                0.60399,                 1.5105,              0.0002374,              0.0002374,              0.0002374
                     90,                0.77942,                0.70752,                 1.2015,                0.84422,                0.88294,                 1.2329,                0.82463,                0.86578,                0.92094,                0.69448,                 1.1182,                 0.6739,                 1.4564,                 1.1329,                0.70629,                 1.4708,              0.0002363,              0.0002363,              0.0002363
                     91,                0.77194,                0.68174,                 1.1876,                0.83083,                0.85612,                  1.219,                0.86835,                0.82716,                0.91621,                0.73769,                0.90375,                0.58013,                 1.2399,                0.91759,                0.64774,                 1.2602,              0.0002352,              0.0002352,              0.0002352
                     92,                0.76505,                0.68424,                 1.1913,                0.82724,                0.86442,                 1.2225,                0.87842,                0.83889,                  0.914,                0.68556,                 1.1366,                0.60898,                  1.488,                 1.1623,                0.69756,                 1.5219,              0.0002341,              0.0002341,              0.0002341
                     93,                0.77047,                0.69392,                 1.1962,                0.83598,                0.87939,                 1.2312,                0.89199,                0.85797,                 0.9363,                0.69112,                 1.1209,                0.60149,                 1.4398,                  1.135,                0.67291,                 1.4649,               0.000233,               0.000233,               0.000233
                     94,                0.76488,                0.69026,                 1.1836,                0.83057,                 0.8585,                 1.2134,                0.90202,                0.85486,                0.92433,                0.74728,                0.87484,                0.65517,                 1.2215,                0.87605,                0.68401,                 1.2276,              0.0002319,              0.0002319,              0.0002319
                     95,                0.76325,                0.66863,                 1.1873,                0.83503,                0.83109,                 1.2216,                0.93716,                0.84478,                0.95515,                0.76717,                0.89766,                0.53306,                 1.2348,                0.89618,                0.53129,                 1.2432,              0.0002308,              0.0002308,              0.0002308
                     96,                0.76218,                0.66597,                 1.1905,                0.82075,                0.84247,                 1.2219,                0.91286,                0.87487,                0.92882,                0.73769,                0.91896,                0.50073,                  1.274,                0.92805,                0.52158,                  1.284,              0.0002297,              0.0002297,              0.0002297
                     97,                0.75737,                0.66628,                 1.1865,                0.82823,                0.82558,                 1.2166,                0.89738,                0.85412,                0.94329,                0.72886,                 1.0554,                0.57522,                 1.3787,                 1.0618,                0.60246,                 1.3856,              0.0002286,              0.0002286,              0.0002286
                     98,                0.74778,                0.64659,                 1.1822,                0.81778,                0.79942,                 1.2167,                0.88212,                0.87576,                0.94772,                0.72713,                 1.0945,                0.51144,                 1.4306,                 1.0906,                 0.5521,                 1.4242,             0.00022751,             0.00022751,             0.00022751
                     99,                0.75744,                0.67917,                 1.1868,                0.81993,                0.85316,                 1.2181,                0.91423,                0.83911,                0.93274,                0.73052,                0.97957,                0.59321,                 1.3446,                0.98835,                0.63467,                 1.3514,             0.00022641,             0.00022641,             0.00022641
                    100,                0.76373,                0.65858,                 1.1854,                0.82287,                0.81705,                 1.2159,                0.91032,                 0.8685,                0.95226,                0.72561,                 1.0754,                0.54759,                 1.4331,                 1.0864,                0.53987,                 1.4507,             0.00022531,             0.00022531,             0.00022531
                    101,                0.76139,                0.64465,                  1.187,                0.82603,                0.79963,                 1.2174,                 0.8967,                0.84811,                0.94083,                0.73905,                0.96277,                0.57388,                 1.2993,                0.99623,                0.62504,                 1.3372,             0.00022421,             0.00022421,             0.00022421
                    102,                 0.7529,                0.63995,                 1.1803,                 0.8217,                0.78551,                 1.2093,                0.91906,                0.86913,                0.94257,                0.73891,                0.97824,                0.54237,                 1.3179,                 1.0067,                0.57789,                 1.3615,             0.00022311,             0.00022311,             0.00022311
